strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,set,sigma_calibrated,r,group_strike
34.0,8.54,8.04964222677717,0.49035777322282925,0.24045074576005165,0.8238429852192876,2026-04-13,MAR 2027,0.9315068493150684,41.27,165.0,test,0.18358408903588447,0.02,34.0
35.0,6.76,6.930969850868325,0.1709698508683255,0.02923068990593746,0.8495145631067961,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,train,0.18540645743701634,0.02,35.0
35.0,7.3,7.546171244535222,0.24617124453522177,0.06060028163601995,0.8495145631067961,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.18540645743701634,0.02,35.0
35.0,7.22,7.397348157800154,0.17734815780015456,0.031452369075108524,0.8387251377905585,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,train,0.18540645743701634,0.02,35.0
35.0,7.26,6.951010478775319,0.3089895212246807,0.0954745242266574,0.8480736612551489,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,train,0.18540645743701634,0.02,35.0
35.0,7.76,7.565548247156327,0.19445175284367266,0.037811484183976764,0.8480736612551489,2026-04-13,JUN 2027,1.180821917808219,41.27,240.0,train,0.18540645743701634,0.02,35.0
35.0,7.58,7.492841810676324,0.08715818932367636,0.007596549966181812,0.8488964346349746,2026-04-25,JUN 2027,1.147945205479452,41.23,240.0,train,0.18540645743701634,0.02,35.0
35.0,7.72,7.988126943236257,0.26812694323625763,0.07189205768921932,0.8387251377905585,2026-04-02,JUN 2027,1.210958904109589,41.73,240.0,test,0.18540645743701634,0.02,35.0
35.0,7.12,6.873915340016746,0.24608465998325446,0.06055765987907396,0.8488964346349746,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,test,0.18540645743701634,0.02,35.0
36.0,4.62,5.223666031247353,0.6036660312473527,0.36441267728192983,0.8737864077669902,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,train,0.18859787166655598,0.02,36.0
36.0,5.97,6.17349798960684,0.2034979896068405,0.04141143177402577,0.8737864077669902,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,train,0.18859787166655598,0.02,36.0
36.0,5.08,5.398919369910131,0.31891936991013115,0.10170956450387507,0.8737864077669902,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,train,0.18859787166655598,0.02,36.0
36.0,6.51,6.542807510432768,0.03280751043276808,0.0010763327407961867,0.8737864077669902,2026-04-01,MAR 2027,0.9643835616438357,41.2,165.0,train,0.18859787166655598,0.02,36.0
36.0,4.87,5.281556045260865,0.4115560452608653,0.16937837839076342,0.8737864077669902,2026-04-01,MAY 2026,0.1205479452054794,41.2,138.0,train,0.18859787166655598,0.02,36.0
36.0,5.38,5.78354662881814,0.4035466288181402,0.1628498816304858,0.8737864077669902,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,train,0.18859787166655598,0.02,36.0
36.0,5.79,6.249427609527118,0.45942760952711836,0.21107372839580235,0.8626887131560029,2026-04-02,SEP 2026,0.4630136986301369,41.73,150.0,train,0.18859787166655598,0.02,36.0
36.0,6.46,6.182149156017537,0.2778508439824634,0.07720109150176722,0.8723043372910103,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,train,0.18859787166655598,0.02,36.0
36.0,5.43,5.321800934015857,0.10819906598414253,0.011707037879840829,0.8723043372910103,2026-04-13,MAY 2026,0.0876712328767123,41.27,138.0,train,0.18859787166655598,0.02,36.0
36.0,6.33,6.09779622384116,0.23220377615884047,0.05391859366242489,0.8731506184816882,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,train,0.18859787166655598,0.02,36.0
36.0,5.54,5.343268208185967,0.19673179181403277,0.038703397910359934,0.8731506184816882,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,train,0.18859787166655598,0.02,36.0
36.0,6.85,6.472171021200672,0.37782897879932786,0.14275473722054294,0.8731506184816882,2026-04-25,MAR 2027,0.8986301369863013,41.23,165.0,train,0.18859787166655598,0.02,36.0
36.0,5.39,5.2599010258812315,0.13009897411876814,0.016925743066755903,0.8731506184816882,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,train,0.18859787166655598,0.02,36.0
36.0,5.7,5.705731690310657,0.0057316903106565675,3.285227381727438e-05,0.8731506184816882,2026-04-25,SEP 2026,0.4,41.23,150.0,train,0.18859787166655598,0.02,36.0
36.0,6.42,6.618504530418274,0.19850453041827443,0.03940404859657964,0.8626887131560029,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,test,0.18859787166655598,0.02,36.0
36.0,6.96,6.974702030890027,0.014702030890027196,0.00021614971229131386,0.8626887131560029,2026-04-02,MAR 2027,0.9616438356164384,41.73,165.0,test,0.18859787166655598,0.02,36.0
36.0,7.0,6.552588917767824,0.4474110822321764,0.20017667650416732,0.8723043372910103,2026-04-13,MAR 2027,0.9315068493150684,41.27,165.0,test,0.18859787166655598,0.02,36.0
36.0,5.84,5.793206926860261,0.046793073139738794,0.0021895916938609442,0.8723043372910103,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,test,0.18859787166655598,0.02,36.0
36.0,5.69,5.442645271299571,0.2473547287004294,0.06118436181046304,0.8731506184816882,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,test,0.18859787166655598,0.02,36.0
37.0,3.64,4.2118346335469,0.5718346335468998,0.32699484812371715,0.8980582524271844,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,train,0.16839178883451122,0.02,37.0
37.0,4.23,4.369017793901863,0.13901779390186242,0.019325947021340696,0.8980582524271844,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,train,0.16839178883451122,0.02,37.0
37.0,3.97,4.2595852981696405,0.2895852981696403,0.08385964491599947,0.8980582524271844,2026-04-01,MAY 2026,0.1205479452054794,41.2,138.0,train,0.16839178883451122,0.02,37.0
37.0,4.68,4.8604686425412735,0.18046864254127382,0.03256893094069006,0.8866522885214475,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,train,0.16839178883451122,0.02,37.0
37.0,4.45,4.77467079825265,0.32467079825265,0.10541112723801295,0.8866522885214475,2026-04-02,MAY 2026,0.1178082191780822,41.73,141.0,train,0.16839178883451122,0.02,37.0
