strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,group_strike,sigma_calibrated
43.0,0.91,1.0379162300185045,0.1279162300185045,0.016362561902146952,1.0304337407141146,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,43.0,0.19585684582680135
43.0,0.63,0.6415768285148296,0.011576828514829551,0.0001340229584617706,1.0304337407141146,2026-04-02,MAY 2026,0.1178082191780822,41.73,141.0,43.0,0.19585684582680135
43.0,0.53,0.36029909104671654,0.1697009089532835,0.028798398499570613,1.0419190695420402,2026-04-13,MAY 2026,0.08767123287671233,41.27,138.0,43.0,0.19585684582680135
43.0,0.74,0.6156399967172672,0.12436000328273278,0.015465410416481307,1.0429299054086831,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,43.0,0.19585684582680135
43.0,0.45,0.19552996134214104,0.254470038657859,0.06475500057453225,1.0429299054086831,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,43.0,0.19585684582680135
44.0,0.49,0.5166239986809512,0.026623998680951222,0.0007088373057632924,1.0679611650485437,2026-04-01,JUN 2026,0.21643835616438356,41.2,138.0,44.0,0.18780507224975548
44.0,0.29,0.23976414635891194,0.05023585364108804,0.0025236409910488187,1.0679611650485437,2026-04-01,MAY 2026,0.12054794520547946,41.2,138.0,44.0,0.18780507224975548
44.0,1.05,1.144546481199368,0.09454648119936793,0.008939037107182433,1.0679611650485437,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,44.0,0.18780507224975548
44.0,0.62,0.6537345637878273,0.033734563787827354,0.0011380207939549927,1.0543973160795592,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,44.0,0.18780507224975548
44.0,0.39,0.33501171182850537,0.05498828817149465,0.003023711836031338,1.0543973160795592,2026-04-02,MAY 2026,0.1178082191780822,41.73,141.0,44.0,0.18780507224975548
44.0,1.22,1.3312625437091585,0.11126254370915856,0.012379353632632418,1.0543973160795592,2026-04-02,SEP 2026,0.46301369863013697,41.73,150.0,44.0,0.18780507224975548
44.0,0.31,0.15370142709881274,0.15629857290118726,0.02442924389094775,1.0661497455779017,2026-04-13,MAY 2026,0.08767123287671233,41.27,138.0,44.0,0.18780507224975548
44.0,1.16,1.092429094027446,0.067570905972554,0.004565827333951733,1.0661497455779017,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,44.0,0.18780507224975548
