strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,set,sigma_calibrated,r
50.0,0.56,0.5364241878878954,0.023575812112104688,0.0005558189167452621,1.1981787682722262,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,train,0.1894367744713818,0.02
36.0,6.46,6.196435311034981,0.26356468896501895,0.06946634526922718,0.8723043372910103,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,train,0.1894367744713818,0.02
38.0,4.95,4.7090382450593635,0.24096175494063665,0.058062567344071433,0.9207656893627332,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,train,0.1894367744713818,0.02
42.0,2.61,2.4383427520918617,0.1716572479081382,0.02946621075939601,1.0176883935061787,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,train,0.1894367744713818,0.02
48.0,0.78,0.6971922647400208,0.0828077352599792,0.006857121018886803,1.1630724497213472,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,train,0.1894367744713818,0.02
46.0,1.2,1.09415419152734,0.1058458084726599,0.011203335171231002,1.1146110976496244,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,train,0.1894367744713818,0.02
40.0,3.67,3.4511635962673517,0.21883640373264823,0.04788937159863862,0.9692270414344559,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,train,0.1894367744713818,0.02
45.0,1.47,1.3541588335435253,0.11584116645647469,0.013419175845996676,1.090380421613763,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,train,0.1894367744713818,0.02
50.0,0.51,0.43089459984822176,0.07910540015177825,0.006257664333172958,1.21153380179307,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,train,0.1894367744713818,0.02
40.0,3.52,3.3554280656956914,0.1645719343043086,0.02708392156066167,0.9701673538685424,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,train,0.1894367744713818,0.02
38.0,4.81,4.616225717758027,0.19377428224197235,0.03754847245839156,0.9216589861751153,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,train,0.1894367744713818,0.02
35.0,7.12,6.934910275356103,0.1850897246438974,0.03425820616875376,0.8488964346349746,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,train,0.1894367744713818,0.02
45.0,1.36,1.2768786409054795,0.08312135909452056,0.0069091603377202365,1.0914382731021102,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,train,0.1894367744713818,0.02
46.0,1.1,1.0236475958167,0.07635240418330014,0.005829689624570028,1.1156924569488238,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,train,0.1894367744713818,0.02
48.0,0.71,0.6410615675639979,0.06893843243600206,0.004752507466733221,1.1642008246422508,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,train,0.1894367744713818,0.02
44.0,1.67,1.5784919418281826,0.09150805817181729,0.008373724710376696,1.0671840892553965,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,train,0.1894367744713818,0.02
34.0,7.97,7.800099321991331,0.16990067800866893,0.028866240387805397,0.824642250788261,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,train,0.1894367744713818,0.02
45.0,1.37,1.3929805492700338,0.02298054927003368,0.0005281056447524454,1.0922330097087378,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,test,0.1894367744713818,0.02
50.0,0.49,0.4582367182661289,0.03176328173387111,0.00100890606650527,1.2135922330097086,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,test,0.1894367744713818,0.02
38.0,4.95,5.113686440520322,0.16368644052032177,0.02679325081021284,0.910615863886892,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,test,0.1894367744713818,0.02
45.0,1.54,1.5774918789995604,0.03749187899956041,0.0014056409909176792,1.0783608914450036,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,test,0.1894367744713818,0.02
48.0,0.85,0.8440420852245695,0.005957914775430506,3.5496748471293136e-05,1.1502516175413373,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,test,0.1894367744713818,0.02
34.0,8.06,7.874950156685795,0.18504984331420538,0.03424344451061196,0.8238429852192876,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,test,0.1894367744713818,0.02
35.0,7.26,7.014895267487067,0.24510473251293252,0.0600763299002362,0.8480736612551489,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,test,0.1894367744713818,0.02
44.0,1.8,1.6618771433100092,0.1381228566899908,0.019077923540203736,1.0661497455779017,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,test,0.1894367744713818,0.02
36.0,6.33,6.111486794178671,0.2185132058213295,0.04774802111831471,0.8731506184816882,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,test,0.1894367744713818,0.02
42.0,2.47,2.3459231615245395,0.1240768384754607,0.015395061846065563,1.0186757215619695,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,test,0.1894367744713818,0.02
50.0,0.44,0.3885969564421352,0.05140304355786479,0.002642272887011745,1.212709192335678,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,test,0.1894367744713818,0.02
41.0,1.85,1.8976910201067196,0.04769102010671955,0.0022744333988195284,0.994421537715256,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,train,0.21219356340390816,0.02
36.0,5.69,5.58417851855578,0.10582148144422021,0.011198185935049442,0.8731506184816882,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,train,0.21219356340390816,0.02
45.0,0.43,0.5148482513087127,0.08484825130871271,0.007199225750146468,1.0914382731021102,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,train,0.21219356340390816,0.02
46.0,0.28,0.3487434904211591,0.06874349042115907,0.004725667475283989,1.1156924569488238,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,train,0.21219356340390816,0.02
38.0,3.96,3.879071012787174,0.08092898721282582,0.006549500971293725,0.9216589861751153,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,train,0.21219356340390816,0.02
37.0,4.8,4.7019227995617205,0.09807720043827928,0.009619137245810408,0.8974048023284017,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,train,0.21219356340390816,0.02
44.0,0.65,0.7412480783640407,0.0912480783640407,0.008326211805130112,1.0671840892553965,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,train,0.21219356340390816,0.02
40.0,2.47,2.467349119060582,0.002650880939418343,7.027169754971477e-06,0.9701673538685424,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,train,0.21219356340390816,0.02
39.0,3.18,3.1302587571337597,0.04974124286624049,0.00247419124187832,0.9459131700218288,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,test,0.21219356340390816,0.02
42.0,1.35,1.4231909195553152,0.07319091955531509,0.005356910705352606,1.0186757215619695,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,test,0.21219356340390816,0.02
43.0,0.95,1.040364494632332,0.09036449463233209,0.008165741890156775,1.0429299054086831,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,test,0.21219356340390816,0.02
44.0,0.49,0.4763753048298222,0.01362469517017778,0.00018563231848026573,1.0679611650485437,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,train,0.181927532709106,0.02
45.0,0.32,0.29751031671894557,0.02248968328105444,0.0005057858540821396,1.0922330097087378,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,train,0.181927532709106,0.02
36.0,5.08,5.364823283686766,0.2848232836867659,0.08112430293011193,0.8737864077669902,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,train,0.181927532709106,0.02
40.0,2.03,2.1206706466753493,0.09067064667534952,0.008221166168526072,0.9708737864077669,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,train,0.181927532709106,0.02
41.0,1.49,1.5464824954649241,0.05648249546492412,0.003190272293945174,0.9951456310679611,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,train,0.181927532709106,0.02
37.0,4.23,4.447071161429576,0.21707116142957528,0.04711988912438473,0.8980582524271844,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,train,0.181927532709106,0.02
38.0,3.41,3.5866370622499675,0.17663706224996734,0.031200651760298837,0.9223300970873786,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,train,0.181927532709106,0.02
39.0,2.68,2.804880421083499,0.12488042108349884,0.015595119569991982,0.9466019417475727,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,train,0.181927532709106,0.02
41.0,1.79,1.8455070863025138,0.055507086302513775,0.003081036629794712,0.9825065899832256,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,train,0.181927532709106,0.02
43.0,0.91,0.9158586043982007,0.005858604398200629,3.432324549461575e-05,1.0304337407141146,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,train,0.181927532709106,0.02
45.0,0.42,0.38960437093759703,0.03039562906240295,0.000923894266099195,1.0783608914450036,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,train,0.181927532709106,0.02
47.0,0.17,0.14209862341558668,0.02790137658441333,0.0007784868153052484,1.1262880421758927,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,train,0.181927532709106,0.02
38.0,3.85,4.039260162214964,0.18926016221496367,0.03581940900163436,0.910615863886892,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,train,0.181927532709106,0.02
42.0,1.3,1.3249737365570038,0.024973736557003745,0.0006236875176186253,1.00647016534867,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,train,0.181927532709106,0.02
39.0,3.08,3.2148144958027265,0.13481449580272642,0.01817494827854334,0.9345794392523366,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,train,0.181927532709106,0.02
37.0,4.68,4.9311688483846945,0.2511688483846948,0.0630857903988938,0.8866522885214475,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,train,0.181927532709106,0.02
44.0,0.62,0.6090606652510869,0.010939334748913065,0.00011966904474877688,1.0543973160795592,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,train,0.181927532709106,0.02
45.0,0.28,0.1665205859395662,0.11347941406043383,0.012877577415499386,1.0914382731021102,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,train,0.181927532709106,0.02
40.0,2.23,1.912329562610795,0.317670437389205,0.1009145067910488,0.9701673538685424,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,train,0.181927532709106,0.02
38.0,3.76,3.463460625231278,0.29653937476872194,0.08793560078822453,0.9216589861751153,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,train,0.181927532709106,0.02
43.0,0.74,0.527407257465567,0.21259274253443294,0.0451956741783117,1.0429299054086831,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,train,0.181927532709106,0.02
41.0,1.61,1.317400377216323,0.2925996227836771,0.08561453925315014,0.994421537715256,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,train,0.181927532709106,0.02
37.0,4.63,4.3686850084530136,0.26131499154698634,0.06828552480720154,0.8974048023284017,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,train,0.181927532709106,0.02
44.0,0.47,0.30535087618188217,0.1646491238181178,0.027109333974073887,1.0671840892553965,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,train,0.181927532709106,0.02
36.0,5.54,5.321977674513482,0.21802232548651812,0.04753373441054925,0.8731506184816882,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,train,0.181927532709106,0.02
42.0,1.06,1.085926305295279,0.02592630529527895,0.0006721733062640094,1.0194174757281553,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,test,0.181927532709106,0.02
43.0,0.73,0.7334928941188614,0.003492894118861445,1.220030932557687e-05,1.0436893203883495,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,test,0.181927532709106,0.02
46.0,0.22,0.1787637134191171,0.04123628658088291,0.0017004313309807039,1.116504854368932,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,test,0.181927532709106,0.02
40.0,2.38,2.4782297144572656,0.0982297144572657,0.009649076802355952,0.958543014617781,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,test,0.181927532709106,0.02
46.0,0.27,0.23979456540102562,0.0302054345989744,0.0009123682793129198,1.1023244668104482,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,test,0.181927532709106,0.02
39.0,2.96,2.634949296405963,0.32505070359403687,0.10565795990697842,0.9459131700218288,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,test,0.181927532709106,0.02
42.0,1.11,0.8582291235587651,0.25177087644123497,0.06338857422398761,1.0186757215619695,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,test,0.181927532709106,0.02
46.0,0.17,0.08559008771192178,0.08440991228807823,0.0071250332924810604,1.1156924569488238,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,test,0.181927532709106,0.02
35.0,7.3,7.299164008953081,0.0008359910469186715,6.988810305281765e-07,0.8495145631067961,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.1758948346341473,0.02
55.0,0.46,0.3157015845127909,0.14429841548720912,0.020822032712119232,1.3349514563106795,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.1758948346341473,0.02
30.0,11.24,11.589357525246562,0.34935752524656216,0.12205068044640231,0.7281553398058251,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.1758948346341473,0.02
45.0,2.11,1.92185628765867,0.18814371234132987,0.03539805649357708,1.0922330097087378,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.1758948346341473,0.02
60.0,0.23,0.1127585282748926,0.1172414717251074,0.01374556269226916,1.4563106796116503,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.1758948346341473,0.02
24.0,16.66,17.32874782515318,0.6687478251531793,0.4472236536471073,0.5825242718446602,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.1758948346341473,0.02
40.0,4.15,4.007541751387066,0.1424582486129342,0.020294352597864572,0.9708737864077669,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.1758948346341473,0.02
26.0,14.81,15.38781036509607,0.5778103650960702,0.33386481801245393,0.6310679611650485,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.1758948346341473,0.02
28.0,13.0,13.467365607036479,0.4673656070364789,0.2184306106405764,0.6796116504854368,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.1758948346341473,0.02
26.0,15.32,15.908885110669512,0.5888851106695121,0.3467856735682435,0.6230529595015577,2026-04-02,JUN 2027,1.210958904109589,41.73,240.0,train,0.1758948346341473,0.02
55.0,0.51,0.36539613697824647,0.14460386302175354,0.02091027720081406,1.317996645099449,2026-04-02,JUN 2027,1.210958904109589,41.73,240.0,train,0.1758948346341473,0.02
45.0,2.32,2.126883543161726,0.19311645683827372,0.03729396590176884,1.0783608914450036,2026-04-02,JUN 2027,1.210958904109589,41.73,240.0,train,0.1758948346341473,0.02
28.0,13.47,13.983351919348726,0.5133519193487253,0.26353019309902015,0.6709801102324467,2026-04-02,JUN 2027,1.210958904109589,41.73,240.0,train,0.1758948346341473,0.02
35.0,7.72,7.7425653960295735,0.022565396029573748,0.0005091970979715026,0.8387251377905585,2026-04-02,JUN 2027,1.210958904109589,41.73,240.0,train,0.1758948346341473,0.02
40.0,4.48,4.337674675728868,0.1423253242711322,0.020256497928882934,0.958543014617781,2026-04-02,JUN 2027,1.210958904109589,41.73,240.0,train,0.1758948346341473,0.02
