date,ticker,option_type,maturity,strike,settlement,tau,S0,S_max,moneyness,options_csv,underlying_csv
2026-04-01,AD,CALL,JUN 2027,24.0,16.66,1.2136986301369863,41.2,240.0,0.5825242718446602,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2027,26.0,14.81,1.2136986301369863,41.2,240.0,0.6310679611650485,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2027,28.0,13.0,1.2136986301369863,41.2,240.0,0.6796116504854368,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2027,30.0,11.24,1.2136986301369863,41.2,240.0,0.7281553398058251,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2027,35.0,7.3,1.2136986301369863,41.2,240.0,0.8495145631067961,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2027,40.0,4.15,1.2136986301369863,41.2,240.0,0.9708737864077669,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2027,45.0,2.11,1.2136986301369863,41.2,240.0,1.0922330097087378,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2027,50.0,0.99,1.2136986301369863,41.2,240.0,1.2135922330097086,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2027,55.0,0.46,1.2136986301369863,41.2,240.0,1.3349514563106795,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2027,60.0,0.23,1.2136986301369863,41.2,240.0,1.4563106796116503,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2027,80.0,0.03,1.2136986301369863,41.2,240.0,1.9417475728155338,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAR 2027,32.0,9.66,0.9643835616438357,41.2,165.0,0.7766990291262136,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAR 2027,34.0,8.03,0.9643835616438357,41.2,165.0,0.8252427184466019,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAR 2027,36.0,6.51,0.9643835616438357,41.2,165.0,0.8737864077669902,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAR 2027,38.0,5.15,0.9643835616438357,41.2,165.0,0.9223300970873786,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAR 2027,40.0,3.97,0.9643835616438357,41.2,165.0,0.9708737864077669,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAR 2027,42.0,2.94,0.9643835616438357,41.2,165.0,1.0194174757281553,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAR 2027,44.0,2.16,0.9643835616438357,41.2,165.0,1.0679611650485437,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAR 2027,46.0,1.56,0.9643835616438357,41.2,165.0,1.116504854368932,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAR 2027,48.0,1.1,0.9643835616438357,41.2,165.0,1.1650485436893203,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAR 2027,50.0,0.81,0.9643835616438357,41.2,165.0,1.2135922330097086,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAR 2027,55.0,0.37,0.9643835616438357,41.2,165.0,1.3349514563106795,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAY 2026,36.0,4.87,0.12054794520547946,41.2,138.0,0.8737864077669902,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAY 2026,37.0,3.97,0.12054794520547946,41.2,138.0,0.8980582524271844,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAY 2026,38.0,3.12,0.12054794520547946,41.2,138.0,0.9223300970873786,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAY 2026,39.0,2.36,0.12054794520547946,41.2,138.0,0.9466019417475727,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAY 2026,40.0,1.7,0.12054794520547946,41.2,138.0,0.9708737864077669,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAY 2026,41.0,1.16,0.12054794520547946,41.2,138.0,0.9951456310679611,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAY 2026,42.0,0.75,0.12054794520547946,41.2,138.0,1.0194174757281553,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAY 2026,43.0,0.47,0.12054794520547946,41.2,138.0,1.0436893203883495,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAY 2026,44.0,0.29,0.12054794520547946,41.2,138.0,1.0679611650485437,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAY 2026,45.0,0.18,0.12054794520547946,41.2,138.0,1.0922330097087378,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,MAY 2026,46.0,0.11,0.12054794520547946,41.2,138.0,1.116504854368932,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,SEP 2026,32.0,8.8,0.4657534246575342,41.2,150.0,0.7766990291262136,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,SEP 2026,34.0,7.03,0.4657534246575342,41.2,150.0,0.8252427184466019,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,SEP 2026,36.0,5.38,0.4657534246575342,41.2,150.0,0.8737864077669902,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,SEP 2026,38.0,3.88,0.4657534246575342,41.2,150.0,0.9223300970873786,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,SEP 2026,40.0,2.64,0.4657534246575342,41.2,150.0,0.9708737864077669,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,SEP 2026,42.0,1.71,0.4657534246575342,41.2,150.0,1.0194174757281553,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,SEP 2026,44.0,1.05,0.4657534246575342,41.2,150.0,1.0679611650485437,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,SEP 2026,45.0,0.81,0.4657534246575342,41.2,150.0,1.0922330097087378,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,SEP 2026,46.0,0.62,0.4657534246575342,41.2,150.0,1.116504854368932,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
