strike,market_price,fem_price,abs_error,sq_error,moneyness,set,date,maturity,expiry,tau,S0,S_max,sigma_calibrated,r,options_csv
42.0,0.88,0.9309232631870532,0.0509232631870532,0.002593178733617888,1.0176883935061787,test,2026-04-13,MAY 2026,2026-05-15,0.08767123287671233,41.27,138.0,0.244295813632294,0.02,../data/daily_clean/2026-04-13_options.csv
43.0,0.53,0.5841202543305951,0.054120254330595086,0.002929001928808296,1.0419190695420402,test,2026-04-13,MAY 2026,2026-05-15,0.08767123287671233,41.27,138.0,0.244295813632294,0.02,../data/daily_clean/2026-04-13_options.csv
42.0,1.9,1.8805043623559714,0.019495637644028507,0.00038007988714726143,1.0176883935061787,train,2026-04-13,SEP 2026,2026-09-18,0.4328767123287671,41.27,150.0,0.1919894055310567,0.02,../data/daily_clean/2026-04-13_options.csv
32.0,9.41,9.521811678949598,0.1118116789495982,0.012501851549528022,0.7753816331475648,train,2026-04-13,SEP 2026,2026-09-18,0.4328767123287671,41.27,150.0,0.1919894055310567,0.02,../data/daily_clean/2026-04-13_options.csv
48.0,0.37,0.3554686961745028,0.014531303825497222,0.00021115879086891018,1.1630724497213472,train,2026-04-13,SEP 2026,2026-09-18,0.4328767123287671,41.27,150.0,0.1919894055310567,0.02,../data/daily_clean/2026-04-13_options.csv
50.0,0.21,0.18266316729093796,0.027336832709062037,0.0007473024225632441,1.21153380179307,train,2026-04-13,SEP 2026,2026-09-18,0.4328767123287671,41.27,150.0,0.1919894055310567,0.02,../data/daily_clean/2026-04-13_options.csv
36.0,5.84,5.8312545841445065,0.008745415855493377,7.648229848551495e-05,0.8723043372910103,train,2026-04-13,SEP 2026,2026-09-18,0.4328767123287671,41.27,150.0,0.1919894055310567,0.02,../data/daily_clean/2026-04-13_options.csv
34.0,7.56,7.618564031533171,0.058564031533171246,0.003429745789418276,0.8238429852192876,train,2026-04-13,SEP 2026,2026-09-18,0.4328767123287671,41.27,150.0,0.1919894055310567,0.02,../data/daily_clean/2026-04-13_options.csv
46.0,0.66,0.656019284271547,0.003980715728453044,1.5846097710753446e-05,1.1146110976496244,train,2026-04-13,SEP 2026,2026-09-18,0.4328767123287671,41.27,150.0,0.1919894055310567,0.02,../data/daily_clean/2026-04-13_options.csv
40.0,2.96,2.909135803392885,0.05086419660711483,0.002587166496487232,0.9692270414344559,train,2026-04-13,SEP 2026,2026-09-18,0.4328767123287671,41.27,150.0,0.1919894055310567,0.02,../data/daily_clean/2026-04-13_options.csv
38.0,4.29,4.238109096390481,0.05189090360951898,0.0026926658774123896,0.9207656893627332,test,2026-04-13,SEP 2026,2026-09-18,0.4328767123287671,41.27,150.0,0.1919894055310567,0.02,../data/daily_clean/2026-04-13_options.csv
