strike,market_price,fem_price,abs_error,sq_error,moneyness,analytic_price,analytic_abs_error,analytic_sq_error,experiment,order,cl1,cl2,theta,nsteps,sigma,r,tau,S0,S_max
45.0,0.18,0.15564209632293063,0.02435790367706936,0.000593307471541389,1.0922330097087378,0.15554535099070765,9.674533222298054e-05,9.359659306934877e-09,ordre,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
46.0,0.11,0.07856957825960013,0.031430421740399866,0.0009878714107794005,1.116504854368932,0.07842322898694398,0.0001463492726561516,2.1418109606984606e-08,ordre,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
36.0,4.87,5.31084950200222,0.4408495020022203,0.19434828341560562,0.8737864077669902,5.310750595671216,9.890633100440027e-05,9.78246231275199e-09,ordre,3,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
37.0,3.97,4.354654559303081,0.384654559303081,0.14795912999264746,0.8980582524271844,4.35455577224274,9.878706034083251e-05,9.758883290783283e-09,ordre,3,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
38.0,3.12,3.4457353212867976,0.3257353212867975,0.10610349953381319,0.9223300970873786,3.4456994588190355,3.5862467762104444e-05,1.2861165939879804e-09,ordre,3,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
39.0,2.36,2.6134359194349703,0.25343591943497046,0.06422976525984883,0.9466019417475727,2.6135217598430245,8.584040805414972e-05,7.368575654902932e-09,ordre,3,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
40.0,1.7,1.888026019108267,0.188026019108267,0.03535378386170238,0.9708737864077669,1.8882414365962106,0.00021541748794362547,4.640469411194203e-08,ordre,3,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
41.0,1.16,1.292295728407742,0.13229572840774217,0.01750215975493508,0.9951456310679611,1.2925797385810434,0.00028401017330126344,8.066177853861369e-08,ordre,3,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
42.0,0.75,0.8346926873684246,0.08469268736842461,0.00717285129368571,1.0194174757281553,0.8349465307151647,0.00025384334674005693,6.443644468419277e-08,ordre,3,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
43.0,0.47,0.5074033615714862,0.03740336157148627,0.001399011456847336,1.0436893203883495,0.5075465363030709,0.00014317473158464988,2.049900376433654e-08,ordre,3,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
44.0,0.29,0.2899044840123381,9.551598766188718e-05,9.123303899025784e-09,1.0679611650485437,0.2899126482612271,8.164248888997694e-06,6.665495992150007e-11,ordre,3,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
45.0,0.18,0.15564209640137042,0.024357903598629577,0.0005933074677201317,1.0922330097087378,0.15554535099070765,9.674541066276299e-05,9.359674484306655e-09,ordre,3,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
